CustomerID,LastTransactionDate,LastTransactionDays,Complaints,Products,Exited
7452884,2025-11-10,1,0,4,0
2937289,2025-10-31,11,0,2,0
1891376,2025-11-02,9,2,2,0
6985516,2025-10-27,15,4,4,0
4393253,2025-11-09,2,1,3,0
8385851,2025-09-27,45,0,2,0
4109681,2025-11-06,5,2,1,0
1350907,2025-10-03,39,0,2,1
5690745,2025-10-05,37,2,1,1
2871253,2025-11-03,8,0,2,1
8161736,2025-11-10,1,1,3,0
3682440,2025-10-27,15,1,4,0
3658162,2025-10-22,20,1,4,0
3990345,2025-11-08,3,2,2,0
9017062,2025-11-03,8,1,3,0
6755268,2025-10-13,29,0,3,0
9828815,2025-10-11,31,0,3,1
2962755,2025-10-19,23,0,2,0
2485829,2025-10-11,31,1,1,0
5669216,2025-09-28,44,1,1,0
6778775,2025-09-27,45,0,3,0
8957817,2025-11-10,1,1,4,1
3279374,2025-10-29,13,1,1,1
2177894,2025-11-06,5,2,3,0
4524138,2025-11-09,2,2,1,0
1349900,2025-10-29,13,2,4,0
2508169,2025-10-03,39,2,4,1
6238239,2025-10-17,25,0,3,0
8864325,2025-11-02,9,3,2,0
7396676,2025-11-02,9,0,3,1
4148737,2025-11-02,9,1,4,1
3708559,2025-11-10,1,0,1,0
1400702,2025-10-31,11,3,3,0
3602974,2025-10-23,19,5,4,1
7277509,2025-10-07,35,3,3,0
6801577,2025-10-28,14,1,4,1
8620366,2025-11-03,8,0,3,1
3612093,2025-09-25,47,1,3,0
9150064,2025-10-02,40,2,4,0
8902985,2025-11-07,4,1,2,0
8808401,2025-11-10,1,0,1,0
1406309,2025-11-08,3,0,3,0
6861873,2025-11-08,3,0,1,0
6518426,2025-10-30,12,0,4,0
1438050,2025-10-13,29,0,3,0
5747355,2025-11-01,10,1,2,0
7699675,2025-10-30,12,3,3,0
7120887,2025-10-01,41,2,4,0
8611059,2025-10-26,16,0,2,0
7352593,2025-11-06,5,0,3,0
7501827,2025-09-14,58,2,3,0
4157114,2025-11-02,9,1,4,0
7323135,2025-11-10,1,0,1,0
1480973,2025-10-20,22,1,3,0
1402980,2025-11-05,6,0,1,0
6124395,2025-11-01,10,1,1,0
3580864,2025-11-08,3,1,2,1
7028738,2025-11-09,2,0,4,0
3284179,2025-11-10,1,2,4,0
7195340,2025-11-02,9,0,2,0
8857535,2025-11-07,4,0,2,0
6890369,2025-11-01,10,1,4,0
7781150,2025-10-31,11,0,3,0
8003227,2025-10-15,27,1,4,0
7847516,2025-11-01,10,1,3,0
9323751,2025-11-06,5,2,4,0
2535695,2025-11-08,3,3,2,0
1622523,2025-11-09,2,0,2,0
1983813,2025-10-17,25,1,4,0
9724183,2025-10-01,41,0,4,0
4574278,2025-11-03,8,2,1,0
6010885,2025-11-07,4,1,4,0
7315696,2025-10-28,14,0,1,0
3057132,2025-10-31,11,1,2,0
9076656,2025-11-10,1,0,2,0
5286242,2025-10-23,19,2,2,0
1467632,2025-11-10,1,1,3,0
6180545,2025-11-09,2,1,3,0
8863552,2025-09-30,42,0,2,0
6442164,2025-11-05,6,1,1,0
7192453,2025-11-06,5,3,2,0
5009578,2025-10-25,17,1,3,0
8568300,2025-10-03,39,0,4,0
5614552,2025-09-30,42,3,2,0
5763605,2025-10-20,22,0,3,0
4648767,2025-09-19,53,1,2,1
4621906,2025-10-27,15,1,3,0
6634529,2025-10-25,17,0,3,0
9547228,2025-10-05,37,1,4,0
5094411,2025-11-08,3,2,3,0
9721455,2025-11-08,3,0,2,0
1879792,2025-10-25,17,3,3,0
6800135,2025-11-07,4,1,2,1
3509360,2025-11-07,4,2,4,0
2556916,2025-08-24,79,1,1,0
9967372,2025-10-24,18,0,3,0
5277568,2025-10-25,17,2,2,0
8483926,2025-10-30,12,1,3,0
9797465,2025-10-22,20,0,4,1
3486960,2025-10-31,11,2,1,0
9872521,2025-10-26,16,1,4,0
8444567,2025-09-20,52,1,4,0
6621815,2025-09-11,61,1,2,0
4668494,2025-10-31,11,1,2,0
6295693,2025-10-15,27,0,3,0
8135551,2025-09-25,47,1,2,0
2941342,2025-10-07,35,2,3,0
3937877,2025-10-22,20,0,3,0
4538291,2025-10-30,12,1,3,0
2724081,2025-11-04,7,0,3,0
7801648,2025-10-25,17,1,4,0
5692987,2025-10-12,30,2,1,0
2825250,2025-09-20,52,0,4,0
8473424,2025-09-24,48,1,1,1
5136359,2025-11-08,3,0,2,0
7175392,2025-10-24,18,1,1,0
3792781,2025-09-18,54,1,1,0
2874541,2025-10-07,35,3,2,0
1125895,2025-11-01,10,0,1,0
2094763,2025-10-17,25,0,1,0
9033680,2025-11-01,10,0,2,0
7388416,2025-11-09,2,0,2,0
2408168,2025-11-04,7,2,3,0
1338122,2025-11-10,1,0,3,1
1570555,2025-11-04,7,3,4,0
6115731,2025-10-15,27,2,3,0
9119052,2025-11-05,6,0,4,0
5258425,2025-10-12,30,2,1,0
6528008,2025-10-09,33,0,1,0
9723565,2025-11-06,5,1,2,0
8478881,2025-11-09,2,4,4,0
1790667,2025-09-15,57,0,4,0
4784549,2025-11-10,1,1,4,0
8426999,2025-10-12,30,1,1,0
4668658,2025-10-29,13,1,2,0
6456890,2025-10-20,22,0,4,0
5957250,2025-11-03,8,2,2,0
6292827,2025-11-08,3,0,3,0
7687160,2025-10-29,13,0,2,1
3621943,2025-11-05,6,1,3,1
3249252,2025-11-02,9,0,2,1
7237946,2025-11-06,5,0,2,0
6196435,2025-11-04,7,0,3,0
5500373,2025-10-08,34,1,4,0
5302783,2025-09-04,68,0,1,0
4136508,2025-10-25,17,3,2,0
1777551,2025-11-07,4,0,4,0
6535123,2025-11-02,9,2,3,1
9362064,2025-11-07,4,0,3,0
5838998,2025-10-20,22,0,1,1
6803439,2025-11-06,5,3,1,0
8034193,2025-10-27,15,2,1,0
7497920,2025-11-01,10,0,1,0
2507758,2025-11-10,1,0,3,1
3319420,2025-10-11,31,0,3,0
5594838,2025-10-26,16,1,2,0
8110820,2025-10-14,28,1,4,1
4410843,2025-11-04,7,2,2,0
7289741,2025-10-07,35,1,2,0
3373851,2025-11-08,3,1,1,0
1100578,2025-10-02,40,1,4,0
9951805,2025-11-09,2,1,4,1
7053724,2025-11-09,2,1,1,0
4538902,2025-11-06,5,4,1,0
6911461,2025-09-25,47,0,2,1
9451530,2025-08-18,85,1,3,0
1387032,2025-10-23,19,3,1,0
2170918,2025-09-11,61,2,4,1
2514701,2025-10-17,25,2,2,0
3955365,2025-09-28,44,3,1,0
9684511,2025-11-09,2,1,2,0
2587953,2025-11-08,3,0,2,0
9498541,2025-10-24,18,1,4,0
5213691,2025-11-06,5,0,2,0
5811088,2025-09-16,56,1,3,1
9842748,2025-08-10,93,0,3,1
8321700,2025-11-07,4,0,3,1
2739755,2025-10-17,25,2,2,0
9364791,2025-11-08,3,0,3,0
7800802,2025-11-08,3,3,4,0
4568812,2025-11-08,3,0,2,0
5210798,2025-10-28,14,1,1,0
7988816,2025-11-07,4,0,1,0
1363742,2025-09-19,53,2,2,0
8274971,2025-11-03,8,0,3,0
7970030,2025-11-01,10,2,4,1
1567632,2025-11-05,6,1,3,0
6189801,2025-10-26,16,1,2,0
4885088,2025-11-09,2,3,3,0
5801272,2025-10-01,41,1,1,0
2848749,2025-10-30,12,0,2,0
3324740,2025-11-10,1,0,3,0
7889187,2025-11-01,10,0,4,0
4086569,2025-11-01,10,1,3,0
3166163,2025-10-22,20,2,4,1
5868783,2025-11-05,6,2,2,0
7311362,2025-10-26,16,1,1,0
9050476,2025-10-25,17,1,1,0
3782756,2025-09-22,50,0,2,0
1605830,2025-11-02,9,0,2,0
2581709,2025-10-17,25,1,3,1
3129833,2025-11-05,6,1,2,1
1877752,2025-11-04,7,0,3,1
8019823,2025-11-06,5,1,2,0
3809279,2025-11-06,5,0,3,0
3988637,2025-11-03,8,2,2,0
4468076,2025-09-21,51,1,4,0
8130507,2025-11-06,5,0,2,0
1269127,2025-10-16,26,0,2,0
1577636,2025-11-07,4,0,3,0
7844530,2025-10-28,14,1,2,0
4197648,2025-10-31,11,0,2,0
4516983,2025-09-09,63,2,3,0
9618928,2025-11-08,3,0,2,1
9746270,2025-09-26,46,1,1,0
6316853,2025-09-29,43,0,1,0
1716951,2025-10-23,19,2,4,1
5005492,2025-11-08,3,2,1,0
2361727,2025-10-31,11,1,3,0
8737564,2025-11-02,9,0,1,0
7852342,2025-10-25,17,2,1,0
8538831,2025-10-25,17,0,4,0
9135109,2025-11-05,6,0,3,1
8898543,2025-10-12,30,1,1,0
2316185,2025-09-28,44,0,4,0
9845613,2025-10-24,18,2,1,1
8261986,2025-11-09,2,1,4,0
5419472,2025-10-27,15,0,1,0
7732040,2025-10-30,12,1,3,1
6023748,2025-11-02,9,2,2,0
2283850,2025-09-16,56,1,2,0
8503877,2025-11-03,8,2,2,0
7999574,2025-10-13,29,0,2,1
4502002,2025-11-02,9,3,4,0
7243479,2025-10-27,15,1,4,1
9573263,2025-10-22,20,1,4,0
5681127,2025-10-18,24,3,2,0
6320005,2025-11-06,5,1,4,0
5513694,2025-11-06,5,0,1,0
5957781,2025-10-26,16,2,2,0
4076934,2025-10-16,26,0,2,1
2640677,2025-11-08,3,2,1,0
1667225,2025-10-27,15,1,1,1
9778034,2025-11-07,4,1,4,1
5754986,2025-11-02,9,0,1,0
4997238,2025-09-10,62,0,4,0
3383494,2025-11-02,9,1,2,0
5557321,2025-11-01,10,2,4,0
7028235,2025-10-31,11,0,1,0
3295849,2025-10-25,17,2,2,0
1650118,2025-10-20,22,0,1,0
6740811,2025-10-15,27,1,2,0
5600057,2025-10-28,14,1,3,1
8701568,2025-09-13,59,0,3,0
5317541,2025-10-04,38,2,3,0
